Address,Telemetry,Validator Name
5DvV9ja7y1iLwyyHcXUhSTTPLBt6pfXzcjtEQBVDvLPMrCFc,validator-fra1-001-mainnet,Foundation 1
5GuPR92DPMtfRQsTnhNoChi5NXRsYku8Qr5vJK3DdWxhhf1w,validator-fra1-002-mainnet,Foundation 2
5GMqZDmBjfTG2NmknpwU74eBgh6kVf9XywxyErxu3BbMFZat,validator-fra1-003-mainnet,Foundation 3
5FXG7qY4JcUYWPSdsncwwavQq7jsYTTS1DVfVh1WQndSehmU,validator-ams3-001-mainnet,Foundation 4
5FGxV7MLTXS5oCsQrctv3pquZZP21Uv9EXhfht83h3cvKkFi,validator-ams3-002-mainnet,Foundation 5
5FX6PRNa7j6UYLJAG2YfYqLu4HeTZZSEr1nTkhBXeQWdhKpr,validator-ams3-003-mainnet,Foundation 6
5EHxoz7vjDyd9nEmqfc7Lgs47zoRhZdfxRwJ9UYoRGrqnfmE,validator-sgp1-001-mainnet,Foundation 7
5DcP87pHMRYF9N3RNDdcwJMUU2kNJAickdACtnsVmmf5Qkp3,validator-sgp1-002-mainnet,Foundation 8
5CoT9DRRVK7Qsc6bS79BcnRGTSxZtPaxD6PBcoXqtkZdfiAx,kira-001-mainnet,
5DRSzU1M1SCh7fJ5kCqHuvRufxjJxKWfkLJK4wDxRZNr7D5a,kira-002-mainnet,
5DRZVfLqS4LXydpLF4n6M3Soob13HZuJpGJ1VRcaEiR6Pv1o,kira-003-mainnet,
5CVN6ZqC6jxUgr2JKx8CaNQPsANSLSKVCqPULwR7VLdS6b7y,kira-004-mainnet,
5CDKB192f38ysExFo1e1v8QwdcdU3zWfbzkGwJSSVK7yNWez,kira-005-mainnet,
5GXA5NyrvW5EY3XkbXPMxbcMBre6S4QkXJHdR1xhrZid6Q7S,kira-006-mainnet,
5EY31AJFxLygydS9FnkhTvHPDuNfBBXWYKR8gEdm9TgEb3sw,validator-ams3-007-mainnet,
5FLc5hVngGnbcCDdzo4fndx2G2X5rHvpausfEY1htP1vyfzn,validator-lon1-002-mainnet,
5FeUSkEKU5THz4yLyNBC7UmTJWX4Vn7byAZVNYoth9zTNBhj,validator-ams3-010-mainnet,
5F4XELB2aXoQcW95LgBMt3WGAt6kw5whECdiE5LZPaFEa5U1,validator-lon1-005-mainnet,
5F5hgak3uTv5oiRGf75i3dFRUTe4xVCnLw23Bie3FVnxaLev,validator-lon1-001-mainnet,
5FFLE3nqGcgZfepoLP2Xyb5VmyXiCsmShs2goniuPFhkTsX8,validator-fra1-010-mainnet,
5CsHpxMoG2DTHYZ5cYab83VMQuCqgz9iYyRowtuTs3epce4v,validator-ams3-005-mainnet,
5Cs2iYeSCZunkRzAZc6pjW3uvbjuyeW6UUuUDZJgGJKi2Mpe,validator-fra1-007-mainnet,
5CMzuYXw9JWTe8q16gFpR48Bjfq6yVDMnE3ghU93Ggg7kx5J,validator-fra1-008-mainnet,
5HbUMBK8SBKH22qrm2sRDtWNtfyT331tUHpKkFMUKyirkJ6G,validator-lon1-006-mainnet,
5GF34RMDPRrvNLTm88yjnForA9H87wn3iCS236M3ooVMcpTn,validator-ams3-006-mainnet,
5Gpr27pdAJvpVs5veewnt5GHRhfrN1tUVehvMfhuvtXcHQqv,validator-lon1-008-mainnet,
5GBNxXCkec3Xkf2bWD4QRAZkHupGEzXwPAndH51Qgu33VZSQ,validator-fra1-004-mainnet,
5HSmkdX8oLZWT5ccX9MXGq4ZAnbMWPfgu1ZZAnPkTsfoveAY,validator-ams3-009-mainnet,
5G4NgM3EJGqNfvw2qjsZaLtkssUrsYJR2RAQhmK1WuYrvsT3,validator-fra1-009-mainnet,
5DMP5HqCe45BW6RXksBiXTSZKsCbYcNcJv466TRRNbKog1ot,validator-fra1-006-mainnet,
5EoUdQLHnEr2ZXeNE9ZdcSH6Ug5eUuPS4JqLNJPVoVUf9UpT,validator-lon1-007-mainnet,
